product_description,product_url,image_url,price,delivery_time,pickup_availability,cancellation_policy,product_status,product_views,
"JCB Toughphone TP231 128GB Outdoor Smartphone 5,7 Zoll - Neu/OVP + Folie",https://www.ebay.de/itm/267314406521?_skw=phones&itmmeta=01K00FYKWFBBWKWKRQ55XGA4P9&hash=item3e3d2e2479:g:IcIAAeSw97loaVHr&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cjjfBbxCE8wywES4u2VgnYZRbgWZpkY51pTFjoxHBvAAFxqat8pliOyDzPqU1fgr63Hu8c4S6P%2Fz2aFWfq0x%2BZ1jBdSWuQYCbDmiPWAGoV0flMAyKTSU301NPUtVhVUO3BsoP7AZXO1KU2LcsbfOcJ7lXz9n1QVvzAC47aSyG1VUj0pMTvuwFbH2ZNI3DlqzDoDp9hOPLdlqFU3EdXnvjp6Qt46vuQIAG8yc3APRr1rA%3D%3D%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/IcIAAeSw97loaVHr/s-l500.webp," 111,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
Fairphone 5 Dual-SIM 6GB/128GB grün Android 14 Smartphone NEU + VERSIEGELT,https://www.ebay.de/itm/396782654169?_skw=phones&itmmeta=01K00FYKWF5TN4NS4GEFHBC21E&hash=item5c6216d2d9:g:yFkAAOSw6HVoXACe&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cGnxw24kT0ZKRUI%2BDZRgT6NsgSNqeB8ja4SteuCVmYbxSRnYRgu1%2BzQGqrJPofPgL0sBwxZwipBZHPPDsumqXtN65wlkk5E8%2B6SssP2xqULQ2vem1rZq0%2BJK5vhP4bZ%2FQpywTTMCIKZQZhcveIzbWuwAw1dwtZBU%2BmYm9kX2bSa%2FV4D9i4WISYFemDGmAIvWSRy4WW1kMk5TIhVN%2BwxuDadmdEpaqU5UUoBypWyn2H%2BQ%3D%3D%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/yFkAAOSw6HVoXACe/s-l500.webp," 469,95",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
Nothing CMF Phone 1 128GB Dual-SIM schwarz Sehr Gut - Refurbished,https://www.ebay.de/itm/406002678752?_skw=phones&itmmeta=01K00FYKWFE0ASQZ6HVSHWF0B9&hash=item5e87a53be0:g:H3oAAeSw5udoXpLI&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dq21xX4rIw0AaGewcb4J9TaRPtB4r4mZ39FfpxO5mDPV43%2Fb7yrcTqSJh8zzruiSoxyNqvO4A%2FgiusEfUanT%2FobbiRtfGML11dS1Zmh4OWtSzfxvHWdLmLRqy1b0p1hkqCDz%2FeYZ5uSDvQsQkUQmbLfowgtgfhIfgNY8qVo2YyBDMmKg5u88mo6RPHioWHjJiImsHHC0XXpAcRj0oattCHH62yBQoY6X71JYKmKGcjew%3D%3D%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/H3oAAeSw5udoXpLI/s-l500.webp," 145,00",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Refurbished,0,
"ASUS ROG Phone II DualSim schwarz 512GB LTE Android Gaming Smartphone 6,59"" 48MP",https://www.ebay.de/itm/196979222473?_skw=phones&epid=12034848947&itmmeta=01K00FYKWFAHQW9VY7BEE0Q3BP&hash=item2ddce067c9:g:QCoAAOSw9W5nmgOx&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cXTtrnmkj3TpLclpJXpk6BOFVzYdj15OM%2Bl98Nq%2F3OvM5F44uCLWYniNr6S4vy2Nlw%2BUux2bPCxdi0VN3ADGdsZmKXIrns74EcaJTAt7wSSQDbz%2FXzOPnlb%2F1JUXwr9V4MtQJDej6f2WacV9njCh7X1YYgChEVaz8Z0zvZhMB76vIuM1eah0CdsB0Cj7r5A%2FjSYZbySR2u5VRaLWKyceqUglESGKWgoz%2F32URbHKLdEj3hQHyRv0qSHrSnoNrGiVVTbDy1KT3QZgmVy1nJXz0Q%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/QCoAAOSw9W5nmgOx/s-l500.webp," 239,27",Gratis 1-2 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Refurbished,13,
2-6x Silikon Ohrstöpsel Für Samsung Galaxy Buds 2 SM-R177 Kopfhoerer Headphone,https://www.ebay.de/itm/166840797759?_skw=phones&itmmeta=01K00FYKWFDZR80W7TYTN07SMM&hash=item26d87c8a3f:g:lAIAAOSwz-FmeouF&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fAMNnIxL7EqRrg8ctJFKsHwX0k6i8u7Lj4k34DNUfM3Ug9bJntZvuDrOym2KJWQ%2B6mWjxIlTMc5HtUlntZD7hvr%2FgoGl0B6xlMj64MSvklMSzlZsJqijV4A4%2F7CFlQtIBOyVG6WzD8bo34MNMWN6EkxsUhGtpDkWtxLE%2FWkhevzKtM4N%2FDkNOzV%2BFmIjxntGLB37JAHkTQc%2B%2Blp%2F6SHkXkgH0p5KzfzxGgQmi3b3foX%2FLbjZAkH811tImZjz5UpVwgByf5C8Djge5z4Lm48Vb%2B%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/lAIAAOSwz-FmeouF/s-l500.webp," 2,99bis 5,49",Gratis 1-3 Tage Lieferung,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
Nothing Phone (1) Dual-SIM Smartphone 128GB Schwarz - Guter Zustand,https://www.ebay.de/itm/336041827420?_skw=phones&epid=2326683834&itmmeta=01K00FBEBTZSYGH8PW2MA0ETZF&hash=item4e3da75c5c:g:7x8AAeSwCNBoYqDY&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fU%2FsSSNEo%2Fcx3b6MKjSFny9hyVrVvPamlBnHYs2AcD97YkJP1tSxnravKnlMmydy5WhhphFOI5RtdSnmJf7IFvs528CZMZ2QyJ9rlbGTB%2B7SrEiGYGtxFIji8hQ8aEG5SUAgQJTsx9zHL5Bs69EgYcNNW7TpJ6L9ASKQrVgkJZRuTJeTZ%2BVsajTB1oml85pjFR%2B1OGUeT3ByiTxsTV8pnk12sXMe5gNDnPsZQdIEAnzBh%2FCPSJmLRd%2FOv2usglzPcjlrF1lCQGljpk48i8Nxjv%7Ctkp%3ABk9SR7rmrY-AZg,https://i.ebayimg.com/images/g/7x8AAeSwCNBoYqDY/s-l500.webp," 178,00",Gratis 1-2 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Refurbished,0,
Neues AngebotApple iPhone 13   Red. Kein Sinlock,https://www.ebay.de/itm/187407302003?_skw=phones&epid=2320328668&itmmeta=01K00FYKWFXX81545GBJJJJ14F&hash=item2ba2587d73:g:GB0AAeSwda9oclaR&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f1CSDlShLTN2%2F%2BEA8aMeoqcklFhdYAHgMmhV%2BWN1zZA6D6vsnBjSa8EbBS5oMls5uhNP0zoCFqF7qZCuRZhdCNzp%2FswFU%2BJ%2FwFbT%2B4qwiDnCFk8pV5UMnMAf3%2BNTYq2j4WLXqPMEhheETTOPeKbbm3nc3NZWDEWVZPQDMtwXZxLsyJ6SUqihaefln8LVFSmin1We8TU6%2BqGWqF1VlA9AAv5MsYrZRzjl7RB6S3QL4oHx%2B6dZgslI%2FrXKOGQxhIaC2t3gctNT36VDT6uk949U%2Ba%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/GB0AAeSwda9oclaR/s-l500.webp," 94,28",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
CMF phone 3a 8/128 gb,https://www.ebay.de/itm/226816704555?_skw=phones&itmmeta=01K00FYKWFNSTRAM3VGQ1BHMX5&hash=item34cf54402b:g:vYYAAOSwPPpoTuzR&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fiX8sCpk%2FYhVBzUMdSXFeJjk5Eo5PBbE6BoZ%2BeJu0NUDGIEbViMa1H8RmR5P3%2FMUMh3hjR5oxZvrU%2B84Rq%2BgP%2FE%2BpfGbmi3NkX%2FAKWfTasRh3ZBRfXRGJkRy35p1xrmpwzFf%2BsPOEOw7bEb2tOuUgK23vPFhUvdHy0X82cG5PjZ01iijoSTYumSvdWTnHeD%2BZsRgInmbFBTBQCSlru0dPLzUMhwvL1YWcY8jGAN2m%2FiA%3D%3D%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/vYYAAOSwPPpoTuzR/s-l500.webp," 290,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
Apple iPhone 3rd gen SE 2022 128GB iOS Smartphone Mitternacht,https://www.ebay.de/itm/317068285798?_skw=phones&epid=28052776137&itmmeta=01K00FYKWFBY4GQS3HBEXFM3N2&hash=item49d2be1766:g:qDYAAeSwzz5obgZo&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dKGk6f6jf0wRxPkgsauxvo7AzQImDzIPLxNOQXdu%2BsTsf8AsTM0fzkHEUuDymdXgq2WirtWmsjejpy7pQlbCA9vceV6vHzvDxxQoSMGrl69z8fOEpIBJ0EUaTorIuv8Kctkk%2FVfZu4kQl3skzwS9p7WtHqpPeM6VR79tu0XOECJ2DpefQzNyVn2RLTsZj%2F3AkYHNc86GZb1U6EHJx8BY2Wj9LHMXX1HMG2k%2FryoLKjSse08vgG1Y5pbji4cIssymh1NJMfjFo4T6stNgRJjmWF%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/qDYAAeSwzz5obgZo/s-l500.webp," 205,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,10,
Toshiba G450 - Handy schwarz - originalverpackt - selten - *Beschreibung lesen*,https://www.ebay.de/itm/127219499472?_skw=phones&itmmeta=01K00FYKWFCVGS9XB042JD2EHK&hash=item1d9edf81d0:g:qeoAAeSwPphobCuJ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1c6xtOXfuF3lxVuY%2F9XtB0%2BTl1AdGIJISZrtYlfWWuQWC893SZqA%2FUrb8UlfdDAz%2BHEeVvnLyQeADcR3K0uzwsi%2FFh2dWddjHxUI8edZqkp2qYPOvpSSkATYUrd029LQYCHNyrXB0m6OTSpVLL8%2Bn0cshQd0v6L1X7I1HJ9%2F3mn%2FQ%2FvrA4CbSYtVvQEjLSnWn2m71wTYoj1Sqd7hrywR2OrlEnU4SJNSyjQbqX4VLSyQg%3D%3D%7Ctkp%3ABk9SR_q--o-AZg,https://i.ebayimg.com/images/g/qeoAAeSwPphobCuJ/s-l500.webp," 80,79",Not Applicable,N/A,Return Not Possible,Refurbished,0,
ASUS ROG Phone ZS600KL - 128GB - Schwarz (Ohne Simlock) (Dual-SIM),https://www.ebay.de/itm/166949384810?_skw=phones&epid=18041636676&itmmeta=01K00FYKWF3C25A04NDJWW823K&hash=item26def5726a:g:9aUAAOSwI-pm1XLW&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eqFD2PHRrFanHn9woz5Bw92bGE2E5nWY8quVAdVn6rTZa2whtbKxfvB90UHtU6YR4IxfHTGoj0g42jsjAcq2IGaw9gsOfBqOqGvjZNnPlpuTvXSm0fOjokUGBwF%2BrldeTucpjFgpbr0TSZnWh7bEJ2vVy2WC%2BChXRb0RtPdwwkB4wJd%2BtYjVqfqD1MHQ1Qw6HsPBSMCdwgGfK4ZJw5bqbnfaIf3p6GtVL81d%2B3789CqP%2FaQHzA%2BlNgMYfJTI4%2FAwJdF%2FGIamPa6IWUNMqsdfLM%7Ctkp%3ABFBM-r76j4Bm,https://i.ebayimg.com/images/g/9aUAAOSwI-pm1XLW/s-l500.webp," 180,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
Microsoft  Lumia 535 Dual SIM - 8GB - Weiß (Ohne Simlock) Smartphone,https://www.ebay.de/itm/387634555919?_skw=phones&epid=208083922&itmmeta=01K00FYKWF8Y7PJXF087F21DDG&hash=item5a40d1ec0f:g:f9YAAOSwRtVnPkM8&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cB0GPdGkuXo%2FTPiFW%2BZYNzY3L2bckH07MfRAlqBl3a6mWQ0xwBJpVO7D3A96B8kdmHh7aBTdAH%2FTy6vAkodfB1k%2BxpweTfisqtYW7IuiR%2FohRvSq9W4vZmaxjPbAxqKtUHDpmz9zFi29Ffot9mVU0we3i93Zmk2%2BGdiwIhCAF7DxCmKWdZ1107EbdsOuy9Z2QN9RefcwEuBa3viL%2BMN80dPTc3Q8UyPETX6JTAN8AwR0LHEVatQpe4bO45RWs7VPC4MmUf7O3QiETWLHCG5Pnx%7Ctkp%3ABFBM_L76j4Bm,https://i.ebayimg.com/images/g/f9YAAOSwRtVnPkM8/s-l500.webp," 59,95",Not Applicable,N/A,Return Not Possible,Refurbished,0,
Shop on eBay,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,$20.00 ,Not Applicable,N/A,Return Not Possible,Refurbished,0,
Shop on eBay,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,$20.00 ,Not Applicable,N/A,Return Not Possible,Refurbished,0,
mini phone,https://www.ebay.de/itm/316214329566?_skw=phones&itmmeta=01K00G8856H4NSDAAK4JV0S413&hash=item499fd7c0de:g:SEgAAeSwAWJnp7W7&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fc5QBcrj6%2BtawBYaSAy5XdBvy7Wa13lQ7yHfbE2hKdndKz%2FFZCpmIQmYfLGyQcAm9dpJry82r1hb5SxOusdCmekMrS5wiGBLbHHyMeOemw%2Bpd3BX1sRPwBQi%2FkNn6DJAf0OcFGDPRKoub48gsNCsmWZIDuL4re2zXiEtfMyo%2BMeExqkCsJwxOYU2KLpd7LEdb4LNLyQfArUSX39mqr%2FnsiCfZYLclka6ScMA6o0Wdyl2%2Fl9lwhwgugNEIPpFWQmrLzVrWKSeMndxaycrDTz1%2BM%7Ctkp%3ABFBMloOhkIBm,https://i.ebayimg.com/images/g/SEgAAeSwAWJnp7W7/s-l500.webp," 60,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
Samsung Galaxy A06 128GB 4GB 2024 Dual Sim Unlocked Android Smart Mobile Phone,https://www.ebay.de/itm/177211381522?_skw=phones&itmmeta=01K00G8856YGTEY9ZBHT9FGJ5X&hash=item29429f1712:g:6a4AAeSwBY1oVb9E&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eAKn2mxNg4pui2f3%2Fbsxojcm39zXSs4GvUddTtCKXbwGcrEeDd1f%2FhZjIw00l9c1irbASGuGrr7EaROgUc2iygGzeJ0ONb%2B55zqtENss2SeIcyT6k40SHqneyToGT%2Bl0bNL2NYOOnYcuu7TUj39%2FWX5JpFF46szO0xvGvMyhiT%2Bf1LFRa7soUtJ3AoqKae7LbMSgJVTnNfuHPJpiDnCL7EIYxtl%2FmKkY%2Fb3mfW8%2BroCyRuVQWcz8YExj%2FC%2FkCao276TovqwZwC3jJsZAvTwhT8%7Ctkp%3ABFBMloOhkIBm,https://i.ebayimg.com/images/g/6a4AAeSwBY1oVb9E/s-l500.webp," 119,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
MobiWire HomePhone 4G Dark Grey Retoureware wie neu,https://www.ebay.de/itm/235492288848?_skw=phones&itmmeta=01K00FBEBTSCVH3J5QY2ZFMNFQ&hash=item36d46f2950:g:5HMAAOSw5qVmAnHa&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1f3n6dAVrjhfU7GcqgQbMBz9h7zT1iMBc5%2FiATOso4fL8TAycYg9OBFid0cFUPC6S2XhF%2BwaWwr%2B9ri8d40vbIEHNJNu2KudWngPaXaIp55cVX5burjB3EeK3QPVY%2BP14VSVAGJyEcIMi4dKHxAV%2BNqO8MA%2FQKdDkAMmaGi%2BkKaY5zBPZFE9%2F6nL3R4766Qj0yZ4%2FvBnfD6nxrpJFb1xxN3pVn2I9wv6KIyUcHSrgBEUw%3D%3D%7Ctkp%3ABk9SR7rmrY-AZg,https://i.ebayimg.com/images/g/5HMAAOSw5qVmAnHa/s-l500.webp," 11,99",Gratis 1-2 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Refurbished,0,
Microsoft Lumia 540 Dual Sim - 8GB - Blau (Ohne Simlock) Smartphone,https://www.ebay.de/itm/186934992359?_skw=phones&itmmeta=01K00G8856GVGYP0NYG1B0249J&hash=item2b86319de7:g:hSgAAOSwnGxnpjcs&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1erHPXXQlYsSbFpFZPrjFJvKIecoPgR2GXGaaXOZss3PatsrLsd5CJo6y5Nrm4AIJXxIBcNM8I9%2FbQQ97g0NArnlOuG1t7MBEH6bMCTt5jhthqxy%2FadN16UMl%2FO1K6CdCp3UcRUXyMPbKaO0DIxctvvactm2fmJLz5%2Ftyzd9k5Q%2FRPZzozoD7ZUVgPw5fvOO7qi02Xi08HSybRmREpTls2ri4trtopFb8rXugB7s9U6Y7v8wI4mWwXMZfhHgai9K8uxh80dlON4gS%2B9DYS8bl6c%7Ctkp%3ABFBMloOhkIBm,https://i.ebayimg.com/images/g/hSgAAOSwnGxnpjcs/s-l500.webp," 47,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
iPhone 12 128GB Schwarz mit Phonecase Kostenlos Abholen In Stuttgart Jetzt!!!...,https://www.ebay.de/itm/286649256444?_skw=phones&epid=2312761202&itmmeta=01K00G8856T7P7DFPFG62C3NJ3&hash=item42bda089fc:g:1nAAAeSwHK1oNiAz&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c1hjWKYH%2BlW%2BKkkJnsln%2BMbMX10JPJV9ku8mdtBghmWcZmhvptyRVNfj1igdFr%2FxDGP5WuxxTakfxeXddZKyW5CUcIK9fC9eTdtK1CrRWIlNcXNDd4zrt1bhdqWLBPg3csDuHCzUBgyKgMgMFVX4J5xZSAvmmtZAFBk2LmgpnJtU33y8N19tR6N1sPkySfYMjXqsCDVEM2UWunKSFfsYCZ7yjiBgiw3GQ2YrgrcFyZ4506CXbFVo1xTGuSqLGjyw8QX6q7j7ONDDDIqjGBsvPe%7Ctkp%3ABFBMloOhkIBm,https://i.ebayimg.com/images/g/1nAAAeSwHK1oNiAz/s-l500.webp," 160,00",Not Applicable,N/A,Return Not Possible,Refurbished,22,
Mini Handy Kleines Phone Telefon Klappbar FlipPhone ohne Vertrag SIMLOCKFREI X56,https://www.ebay.de/itm/364509963810?_skw=phones&itmmeta=01K00G8856JVDD6VE3Y06X4D38&hash=item54de7ca622:g:VQAAAOSwBB5lGwe9&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dWLJzj0NwFMcJlCd7Zx%2F51xKotCO6LRYCyH0I0wt9X3psi%2BmZ%2FNDMk5LwQhPX%2BFDE%2BU%2Fo6NyLgDiM7Mq%2F6B9VsMUYFc1q6oblTS8jZlLNqfM7wDRwUNo1mx6YvVaPPYJcIGdhf7sDcO0oNRHydOtr3i%2BnToRWUWF53gPksYYgtOaaJ9eKdLLdcmGchAGmuR%2FUlTK6l8Vs8l%2FfzJ1lpElUNuPgE%2BGLsUFJfeOE2NmyoIA%3D%3D%7Ctkp%3ABk9SR5aDoZCAZg,https://i.ebayimg.com/images/g/VQAAAOSwBB5lGwe9/s-l500.webp," 69,90",Gratis 1-3 Tage Lieferung,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
HTC Titan X310e 16GB Schwarz Windows Phone Smartphone 💥,https://www.ebay.de/itm/135525560943?_skw=phones&epid=109613688&itmmeta=01K00G88569DFERG997V5Z77FZ&hash=item1f8df3f26f:g:MAwAAOSwGulnm4Fv&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cMVDRRjB9%2BxWKivjt%2F1CepfTmeMzcU4ABA7hw81d%2B9afbXhjZbWIrRis00QP2ZpdQzRYd4dVHWVbs7ukRlMVENh5frkdqOstjKaN7nV0WIwAICUD1rE3WONh2UV2H4saeIEJ7EZoMlp8klBKvJ%2F0kkU%2FDfy3g69qwv%2FNngpNOiHjgC%2FOand5Q0u%2BB8FiypMv90FoSkiQ8JZAE5MLNFwtTJn%2Ff1SuYChOMV%2BbIQUjV%2FKg%3D%3D%7Ctkp%3ABk9SR5aDoZCAZg,https://i.ebayimg.com/images/g/MAwAAOSwGulnm4Fv/s-l500.webp," 24,95",Gratis 2-3 Tage Lieferung,N/A,Seller Pays Return Shipping,Refurbished,0,
Neues AngebotQin F22 Google Play Feature Phone 4GB Ram 64GB Speicher,https://www.ebay.de/itm/127228804097?_skw=phones&itmmeta=01K00G88561YZ9PQWWTJWM3VKV&hash=item1d9f6d7c01:g:sjYAAeSwippocsha&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dB%2B5H5eDxEkixWiVPHag876dMUAfu%2FJ2WmLbpS1ZNFAgSLKwmyHZq%2FyR42Dp3NcTd32zGjXsI13bzAZU%2Bv3CoohGuh2g6Y7YRkiPRWeewADfyZrIGKKY0%2FNTrMcX7KNnP0zJBbigELLMuy4wOxq3VqgJxaIWUajwCEtPw5HlG0m%2Fj7Prd3PvTMuPfEvTfP9NmIiEu2Npba8OpbmF9sQwxdSaiUOuYimQNP%2FA2mZp5iKQ%3D%3D%7Ctkp%3ABk9SR5aDoZCAZg,https://i.ebayimg.com/images/g/sjYAAeSwippocsha/s-l500.webp," 70,40",Not Applicable,N/A,Return Not Possible,Refurbished,0,
Apple iPhone 12 - 128GB - Schwarz (Ohne Simlock) (Dual-SIM) Top Zustand ✅,https://www.ebay.de/itm/297460942241?_skw=phones&epid=25041757159&itmmeta=01K00G8856XZAN7EJVAH1RH5Z2&hash=item45420dc5a1:g:g3wAAeSwCThoHOjL&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fCx%2FYO0oqwCtgnrUq3nzQzfHZYB3%2FNi4joEerdg5%2Fd9fNLVUSd2fDb89vse8AhTgVCOlOPNLXitj03Bh1z2A52QXfmbZi5LuLRf0goSWGjvx8yu8r10gR5Pgx2ncfzFcbrNAjZRIAvnTCLWOnFQ3pA7DKqz6xwSpXn7F%2B35ZHM2n42Diy%2BEmZkiAWh6QRUD4ckMIPIeAzxzwb1duAJomErNI2UTJk2PUoFJVOOCK0UZw%3D%3D%7Ctkp%3ABk9SR5aDoZCAZg,https://i.ebayimg.com/images/g/g3wAAeSwCThoHOjL/s-l500.webp," 249,99",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
Handy Seniorenhandy einfaches Handy Doro PhoneEasy 503,https://www.ebay.de/itm/187404052463?_skw=phones&itmmeta=01K00G8856BM4AKKJS5TT32ZMS&hash=item2ba226e7ef:g:Pk4AAeSw7H9oZ4Cp&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cqhGdltBM415lsyePamzhSPIugKwDi6QEgPdApqnUsu%2Fq2CQbL8OW9Wi2%2FHFS3OQmQem2u9hAVt3IrJtvOBkTf%2FdSHpUQRHeaYFMatkljdAiFqiomdlX3DQ4yyvp7VWpJzdZQakoNiWq9IKm9VAudUnVegGvc75v1dALVNafHx7uxtsdR8ptMIPewmmbw5nCRwXFdrb53kVsGIFiXEulGfKWyGcm6I5FkcD62I2LVCggsM4HMxKOofP1VocV7EvVkWZ8R9Fr3a8f7hKXKyQEbm%7Ctkp%3ABk9SR5iDoZCAZg,https://i.ebayimg.com/images/g/Pk4AAeSw7H9oZ4Cp/s-l500.webp," 10,00",Not Applicable,N/A,Return Not Possible,Refurbished,0,
Old Phone • Tastenhandy • NOKIA N73 RM-133 • geprüft • funktioniert • SimFrei,https://www.ebay.de/itm/205549388641?_skw=phones&epid=112201819&itmmeta=01K00G8856B0NG4A94X5M9DVJN&hash=item2fdbb2c361:g:1uMAAeSw8vtoR-Kw&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cP7v92%2FCEBnombUV2%2BtKXG7Fkk%2FhIdrfW5l1Aivdfl3fbx5c6jL7HmBpxTgKv8eAhkIYqCSBX4iry7PUZEozxTNcOIH0kIV2ooiWtTG%2Fjddv4CItjr8Sm6z57V%2FsqpH6JxBGqZIvJruGjU6Xp%2FWBzPfQAZqB%2BgcBIh%2Fv7oq2SNVVtTitGatQTgEKhsCo1QkG8KFXkHLDQbzjtznqbRizmG4ovUH52aDB09m0IYZmWXmDZS%2BTM4mKo4wgs%2Bccf8V9nTQf3pHjyfN7nS3v4IpSNN%7Ctkp%3ABk9SR5iDoZCAZg,https://i.ebayimg.com/images/g/1uMAAeSw8vtoR-Kw/s-l500.webp," 21,17",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
soundcore C30i Open-Ear Earbuds Clip-On Headphones Lightweight Stable IPX4 Sport,https://www.ebay.de/itm/316658678557?_skw=phones&itmmeta=01K00G88563MDSPYS660JRDF8S&hash=item49ba53fb1d:g:0ncAAOSwiddn~hkq&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dQyWyHdw3C1BXTSPtGvzLpt1c%2Fqa6j3VhcitXEZvTlrfeRXtmqR7Tmrf%2By6JLe08brZlvbBmxwkqBoy7het19q6aeYDgMYwgH%2FNDrCnW0Fesg92qVQikw%2BEKnq3qe0LKCX%2BxXiSCQYnM3CEMfzhllnSeXi7KEZGPzFZbRySka%2FRGcxKUBkLJTXlD6E98SjOnEf9wqmqby6TM1cH9MUaJ95X0nnH2zjRSyUlJaOO0yt7%2F1ifXol6btESa%2FfVgWywy1pzTy000Y%2Fhy3QeeeQhq2I%7Ctkp%3ABk9SR5iDoZCAZg,https://i.ebayimg.com/images/g/0ncAAOSwiddn~hkq/s-l500.webp," 49,99",Gratis 1-3 Tage Lieferung,N/A,Seller Pays Return Shipping,Refurbished,0,
